Group,Time,Feature,SHAP_Value,BaseValue
Group 508,9,MACCS_139,0.035050809383392334,-0.12660813331604004
Group 508,9,MACCS_140,0.033723026514053345,-0.12660813331604004
Group 508,9,MACCS_141,-0.09061190485954285,-0.12660813331604004
Group 508,9,MACCS_142,0.024895161390304565,-0.12660813331604004
Group 508,9,MACCS_143,0.012235283851623535,-0.12660813331604004
Group 508,9,MACCS_144,0.02685612440109253,-0.12660813331604004
Group 508,9,MACCS_145,0.004805028438568115,-0.12660813331604004
Group 508,9,MACCS_146,-0.0580826997756958,-0.12660813331604004
Group 508,9,MACCS_147,0.012618541717529297,-0.12660813331604004
Group 508,9,MACCS_148,0.010883629322052002,-0.12660813331604004
Group 508,9,MACCS_149,-0.06655216217041016,-0.12660813331604004
Group 508,9,MACCS_150,0.024497687816619873,-0.12660813331604004
Group 508,9,MACCS_151,0.003537774085998535,-0.12660813331604004
Group 508,9,MACCS_152,0.18062567710876465,-0.12660813331604004
Group 508,9,MACCS_153,0.014200329780578613,-0.12660813331604004
Group 508,9,MACCS_154,-0.026366829872131348,-0.12660813331604004
Group 508,9,MACCS_155,0.028274953365325928,-0.12660813331604004
Group 508,9,MACCS_156,0.0016718506813049316,-0.12660813331604004
Group 508,9,MACCS_157,-0.01676294207572937,-0.12660813331604004
Group 508,9,MACCS_158,-0.11276161670684814,-0.12660813331604004
Group 508,9,MACCS_159,0.03818714618682861,-0.12660813331604004
Group 508,9,MACCS_160,-0.013070225715637207,-0.12660813331604004
Group 508,9,MACCS_161,-0.024549514055252075,-0.12660813331604004
Group 508,9,MACCS_162,0.014926820993423462,-0.12660813331604004
Group 508,9,MACCS_163,0.08215749263763428,-0.12660813331604004
Group 508,9,MACCS_164,-0.06403961777687073,-0.12660813331604004
Group 508,9,MACCS_165,0.0193842351436615,-0.12660813331604004
Group 508,9,MACCS_166,0.04875814914703369,-0.12660813331604004
Group 508,9,MaxAbsEStateIndex,-0.07070803642272949,-0.12660813331604004
Group 508,9,MaxEStateIndex,0.1853218674659729,-0.12660813331604004
Group 508,9,MinAbsEStateIndex,0.28526008129119873,-0.12660813331604004
Group 508,9,MinEStateIndex,-0.0009448528289794922,-0.12660813331604004
Group 508,9,qed,0.014435559511184692,-0.12660813331604004
Group 508,9,SPS,-0.00549006462097168,-0.12660813331604004
Group 508,9,MolWt,0.0003078281879425049,-0.12660813331604004
Group 508,9,HeavyAtomMolWt,-0.0013686418533325195,-0.12660813331604004
Group 508,9,ExactMolWt,-0.02005019783973694,-0.12660813331604004
Group 508,9,NumValenceElectrons,0.00621458888053894,-0.12660813331604004
Group 508,9,NumRadicalElectrons,0.03130608797073364,-0.12660813331604004
Group 508,9,MaxPartialCharge,-0.26778656244277954,-0.12660813331604004
Group 508,9,MinPartialCharge,-0.019692063331604004,-0.12660813331604004
Group 508,9,MaxAbsPartialCharge,0.014854252338409424,-0.12660813331604004
Group 508,9,MinAbsPartialCharge,0.01938694715499878,-0.12660813331604004
Group 508,9,FpDensityMorgan1,0.026671946048736572,-0.12660813331604004
Group 508,9,FpDensityMorgan2,0.10918062925338745,-0.12660813331604004
Group 508,9,FpDensityMorgan3,0.006151795387268066,-0.12660813331604004
Group 508,9,BCUT2D_MWHI,0.008234500885009766,-0.12660813331604004
Group 508,9,BCUT2D_MWLOW,0.014604061841964722,-0.12660813331604004
Group 508,9,BCUT2D_CHGHI,-0.12203085422515869,-0.12660813331604004
Group 508,9,BCUT2D_CHGLO,-0.01079493761062622,-0.12660813331604004
Group 508,9,BCUT2D_LOGPHI,0.029330581426620483,-0.12660813331604004
Group 508,9,BCUT2D_LOGPLOW,0.013176172971725464,-0.12660813331604004
Group 508,9,BCUT2D_MRHI,0.022316157817840576,-0.12660813331604004
Group 508,9,BCUT2D_MRLOW,0.011441409587860107,-0.12660813331604004
Group 508,9,AvgIpc,-0.017960071563720703,-0.12660813331604004
Group 508,9,BalabanJ,0.02262401580810547,-0.12660813331604004
Group 508,9,BertzCT,-0.16070497035980225,-0.12660813331604004
Group 508,9,Chi0,0.012413769960403442,-0.12660813331604004
Group 508,9,Chi0n,-0.006724059581756592,-0.12660813331604004
Group 508,9,Chi0v,-0.020374923944473267,-0.12660813331604004
Group 508,9,Chi1,-0.0038874149322509766,-0.12660813331604004
Group 508,9,Chi1n,-0.015789687633514404,-0.12660813331604004
Group 508,9,Chi1v,-0.012248873710632324,-0.12660813331604004
